Participant,From,To,Duration,File,Function,Scenario,Something related to traffic,RPM,Speed,Brake,STD of interval time,eyes off the road (yes/no),Notes,Phone dimmed
P19,3839.9,3841.7,1.7999999999997272,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction,no
P19,3846.45,3847.7,1.25,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback while interaction--unsuccessful interaction,no
P19,3851.25,3852.7,1.449999999999818,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction ,no
P19,3905.0,3905.0,0.0,,Vol-up/down,expressway,,,,,,no,,no
P19,3910.0,3910.0,0.0,,Vol-up/down,expressway,close to a front car,,,,,no,,no
P19,3930.65,3932.2,1.5499999999997272,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction,no
P19,4155.95,4156.9,0.9499999999998181,,others,urban,while pulling away,,,,,yes,"looking at the phone, an error on stw",no
P19,4200.95,4201.65,0.6999999999998181,,others,urban,,,,,,yes,looking at the phone,no
P19,4205.2,4206.5,1.300000000000182,,forward/backward,urban,,,,,,yes,looking at the phone for feedback after interaction,no
P19,4209.75,4210.4,0.6499999999996362,,others,urban,close to a turn,,,,,yes,looking at the phone,no
P19,4210.5,4211.5,1.0,,others,urban,close to a turn,,,,,yes,,no
P19,4250.95,4251.4,0.4499999999998181,,pause/play,urban,close to an intersection,,,,,yes,looking at the phone for feedback after interaction,yes
P19,4252.2,4257.1,4.900000000000546,,forward/backward,,very close to an intersection and stopped,,,,,yes,"looking at the phone for feedback before/while/after interaction, unsuccessful interaction",yes
P19,4303.5,4307.3,3.800000000000182,,forward/backward,,"car was stopped before turn",,,,,yes,"looking at the phone for feedback before/while/after interaction, unsuccessful interaction",yes
P19,4307.85,4309.65,1.7999999999992724,,pause/play,urban,"car was stopped before turn",,,,,yes,,yes
P19,4322.0,4322.0,0.0,,Vol-up/down,urban,whie at a intersection,,,,,No,one swipe up,yes
P19,4327.0,4327.0,0.0,,forward/backward,urban,,,,,,no,unsuccessful gesture,yes
P19,4332.0,4332.0,0.0,,forward/backward,urban,close to a turn,,,,,no,,yes
P19,4336.6,4338.2,1.5999999999994543,,others,urban,about to make a turn,,,,,yes,looking at the phone,yes
P19,4349.0,4349.0,0.0,,Vol-up/down,urban,,,,,,no,one swipe up,yes
P19,4419.0,4419.0,0.0,,forward/backward,urban,,,,,,no,unsuccessful gesture,yes
P19,4423.4,4424.0,0.6000000000003638,,forward/backward,urban,close to a turn,,,,,yes,,yes
P19,4434.0,4434.0,0.0,,pause/play,urban,"car was stopped before turn",,,,,no,,yes
P19,4537.0,4537.0,0.0,,Vol-up/down,urban,,,,,,no,one swipe up,yes
P19,4546.0,4546.0,0.0,,Vol-up/down,urban,very close to a turn moving slowly ,,,,,no,one swipe down,yes
P19,4557.0,4557.0,0.0,,forward/backward,urban,very close to a turn moving slowly ,,,,,no,unsuccessful gesture for backward,yes
P19,4633.0,4633.0,0.0,,forward/backward,urban,,,,,,no,unsuccessful gesture for backward,yes
